favorite_count	retweet count	retweet_count	tweet_id
37135		7937.0	892420643555336193
31939		5900.0	892177421306343426
24054		3899.0	891815181378084864
40456		8095.0	891689557279858688
38672		8778.0	891327558926688256
19442		2917.0	891087950875897856
11340		1937.0	890971913173991426
62632		17701.0	890729181411237888
26740		4020.0	890609185150312448
30632		6903.0	890240255349198849
29483		6874.0	890006608113172480
26734		4683.0	889880896479866881
46147		9418.0	889665388333682689
26017		4225.0	889638837579907072
14523		2117.0	889531135344209921
24213		5025.0	889278841981685760
27962		4221.0	888917238123831296
24550		3997.0	888804989199671297
19008		3298.0	888554962724278272
66127		16923.0	887473957103951883
20890		3265.0	888078434458587136
28993		5050.0	887705289381826560
44488		11012.0	887517139158093824
66127		16923.0	887473957103951883
32327		9812.0	887343217045368832
29359		5591.0	887101392804085760
33669		7205.0	886983233522544640
11544		3039.0	886736880519319552
21536		4183.0	886680336477933568
20314		2995.0	886366144734445568
26869		5924.0	886258384151887873
3184		197.0	886053434075471873
31313		6334.0	885984800019947520
34541		6009.0	885528943205470208
68922		17403.0	830583320585068544
21033		4107.0	885167619883638784
74265		17019.0	884925521741709313
26781		5263.0	884876753390489601
23334		4426.0	884562892145688576
25961		5342.0	884441805382717440
19564		2802.0	884162670584377345
20990		3246.0	883838122936631299
44092		9294.0	883482846933004288
21776		3483.0	883360690899218434
35670		6249.0	883117836046086144
22964		3670.0	882992080364220416
27159		4603.0	882762694511734784
26829		5697.0	882627270321602560
43126		10888.0	882268110199369728
28160		4602.0	882045870035918850
23350		3196.0	881906580714921986
48654		10035.0	881666595344535552
47491		14995.0	881536004380872706
22264		4924.0	881268444196462592
16362		2623.0	880935762899988482
20447		3594.0	880872448815771648
27391		5865.0	880465832366813184
25934		3955.0	880221127280381952
26559		4081.0	880095782870896641
21480		3285.0	879862464715927552
22539		2995.0	879492040517615616
101768		41757.0	879415818425184262
16164		2939.0	879376492567855104
40448		6415.0	878057613040115712
21661		4407.0	879050749262655488
18236		2534.0	879008229531029506
18633		3864.0	878776093423087618
754		153.0	878599868507402241
20658		6287.0	669000397445533696
40448		6415.0	878057613040115712
76538		17925.0	877736472329191424
3		5.0	2195
21843		3594.0	877556246731214848
26354		4882.0	877316821321428993
26079		5265.0	877201837425926144
19926		3151.0	876838120628539392
26427		10314.0	876162994446753793
18060		2251.0	876484053909872640
26893		4410.0	876120275196170240
24237		4027.0	875747767867523072
21116		4655.0	875144289856114688
73949		27265.0	874413398133547008
24538		4463.0	875021211251597312
26802		4379.0	874680097055178752
51183		13796.0	866334964761202691
25089		3894.0	874296783580663808
21876		3751.0	874057562936811520
33234		9756.0	874012996292530176
63608		13833.0	868880397819494401
23342		3725.0	873580283840344065
6943		1510.0	873213775632977920
6943		1510.0	873213775632977920
26322		5126.0	872967104147763200
14203		3518.0	872820683541237760
20026		3473.0	872620804844003328
39304		8566.0	872486979161796608
33218		7701.0	872122724285648897
36513		10500.0	871879754684805121
19581		3309.0	871762521631449091
19499		3292.0	871515927908634625
23327		5433.0	841077006473256960
25464		10849.0	871075758080503809
21957		3636.0	871032628920680449
32558		5901.0	870804317367881728
12003		2516.0	870656317836468226
80254		25211.0	870374049280663552
21195		3966.0	870308999962521604
35459		7938.0	870063196459192321
88679		29475.0	859196978902773760
41206		9635.0	869772420881756160
27393		6038.0	869702957897576449
15503		2999.0	869596645499047938
19826		3617.0	869227993411051520
63608		13833.0	868880397819494401
25962		5091.0	868622495443632128
23543		4016.0	867900495410671616
33037		7061.0	867774946302451713
15678		2391.0	867421006826221569
1784		117.0	865013420445368320
31392		7570.0	867051520902168576
119276		33966.0	866450705531457537
1347		383.0	866458718883467265
18784		3345.0	866686824827068416
119276		33966.0	866450705531457537
51183		13796.0	866334964761202691
35002		8086.0	837820167694528512
25033		5425.0	865718153858494464
25833		4819.0	865359393868664832
27350		7420.0	865006731092295680
31523		8402.0	864873206498414592
14255		2925.0	864279568663928832
29388		8592.0	864197398364647424
20162		4002.0	863907417377173506
14952		4053.0	863553081350529029
8309		2357.0	863062471531167744
23308		5077.0	863432100342583297
8589		1071.0	863079547188785154
8309		2357.0	863062471531167744
18778		4991.0	862831371563274240
16733		3433.0	862722525377298433
20074		4801.0	862457590147678208
73036		22518.0	862096992088072192
78342		36586.0	806629075125202948
35423		10413.0	861383897657036800
16881		4027.0	861288531465048066
16405		3713.0	861005113778896900
7384		2095.0	860563773140209665
9977		786.0	860914485250469888
7384		2095.0	860563773140209665
23246		5164.0	860524505164394496
18032		3406.0	860276583193509888
16394		5711.0	860184849394610176
51207		30205.0	761672994376806400
19258		4000.0	859924526012018688
15173		3435.0	859851578198683649
18310		1532.0	859607811541651456
88679		29475.0	859196978902773760
33407		13330.0	859074603037188101
28098		7964.0	839549326359670784
15343		3427.0	858843525470990336
21225		4763.0	858471635011153920
15534		2859.0	858107933456039936
15924		2549.0	857989990357356544
33848		10441.0	857746408056729600
5825		1614.0	857393404942143489
19805		4442.0	857263160327368704
5171		168.0	857061112319234050
18731		3945.0	857029823797047296
16129		2839.0	856543823941562368
11752		1852.0	856526610513747968
27525		6204.0	856282028240666624
45271		17726.0	855851453814013952
15851		3052.0	855656431005061120
29735		8148.0	855459453768019968
24946		5920.0	842163532590374912
771		44.0	855122533267460096
22745		6021.0	854732716440526848
29213		6844.0	854482394044301312
18837		4667.0	854365224396361728
31921		7453.0	854120357044912130
16177		3147.0	854010172552949760
28568		5734.0	853760880890318849
34795		10067.0	853639147608842240
15525		3550.0	853299958564483072
7385		2004.0	831650051525054464
9083		1828.0	852912242202992640
14952		2154.0	852672615818899456
16370		3503.0	852553447878664193
33227		9946.0	852311364735569921
20087		6860.0	852226086759018497
11496		1589.0	852189679701164033
657		1117.0	98
16319		3492.0	851591660324737024
24381		7092.0	851464819735769094
20784		5754.0	851224888060895234
31099		9218.0	850753642995093505
13181		2635.0	850380195714523136
16465		3835.0	850145622816686080
20591		4914.0	850019790995546112
30760		7660.0	849776966551130114
20749		4997.0	833124694597443584
16018		3182.0	849412302885593088
11515		1925.0	849336543269576704
42781		8573.0	849051919805034497
25455		4368.0	848690551926992896
25020		4653.0	848324959059550208
16505		3089.0	848212111729840128
17666		3298.0	832369877331693569
4424		436.0	847971000004354048
23806		5157.0	847962785489326080
5520		1347.0	847842811428974592
19011		3464.0	847606175596138505
20738		4346.0	847251039262605312
21707		3234.0	847116187444137987
20371		3975.0	846874817362120707
45269		11747.0	846514051647705089
344		90.0	846484798663245829
32137		9199.0	846153765933735936
47946		23660.0	846088479142531073
16248		2918.0	846042936437604353
29724		8850.0	845812042753855489
25562		4866.0	845677943972139009
44168		18067.0	756288534030475264
7753		1840.0	845397057150107648
23721		5475.0	845306882940190720
24165		7793.0	773308824254029826
13865		2600.0	844979544864018432
15365		3261.0	844973813909606400
16772		3190.0	844580511645339650
13874		2242.0	844223788422217728
425		865.0	153
21840		4716.0	843856843873095681
17185		2797.0	843604394117681152
21913		6134.0	843235543001513987
123955		58517.0	807106840509214720
15515		3702.0	842846295480000512
6877		1312.0	842765311967449089
18441		3579.0	842535590457499648
24945		5920.0	842163532590374912
14270		3101.0	842115215311396866
35381		15508.0	817423860136083457
26212		7958.0	841680585030541313
12910		3764.0	841439858740625411
23519		11796.0	841311395547250688
16156		4774.0	841314665196081154
23327		5433.0	841077006473256960
46741		16543.0	667152164079423490
12537		998.0	840696689258311684
16811		4661.0	840370681858686976
19694		5868.0	840268004936019968
13718		2345.0	839990271299457024
28098		7964.0	839549326359670784
1875		146.0	839289919298224128
27822		6692.0	839239871831150596
11847		4232.0	838948714227998720
11410		2110.0	838921590096166913
732		35.0	838905980628819968
31333		11306.0	783839966405230592
11169		1367.0	838561493054533637
23110		4908.0	838476387338051585
32749		10334.0	820749716845686786
18054		3231.0	838083903487373313
35002		8086.0	837820167694528512
3924		451.0	837482249356513284
13106		2338.0	837471256429613056
